Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Seats,Price,company
Mercedes-Benz New C-Class,Bangalore,2014,57000,Diesel,Manual,Second,15.8,2148,5,18,Mercedes-Benz
Maruti Ritz ZDi,Hyderabad,2014,88500,Diesel,Manual,First,23.2,1248,5,4.35,Maruti
Hyundai Creta 1.6,Bangalore,2016,28000,Diesel,Manual,First,19.67,1582,5,13.75,Hyundai
Maruti A-Star Vxi,Pune,2010,67000,Petrol,Manual,First,19,998,5,2,Maruti
Renault Duster 110PS,Delhi,2016,26000,Diesel,Manual,First,19.64,1461,5,10,Renault
Fiat Grande Punto,Delhi,2010,120000,Diesel,Manual,First,17.8,1248,5,1.65,Fiat
BMW X3 xDrive30d,Coimbatore,2017,51982,Diesel,Automatic,First,16.55,2993,5,45.77,BMW
Hyundai i10 Sportz,Bangalore,2010,36000,Petrol,Manual,Second,20.36,1197,5,3.25,Hyundai
Toyota Innova 2.5,Pune,2016,47000,Diesel,Manual,First,12.8,2494,7,12.8,Toyota
Maruti Zen VXI,Mumbai,2002,60000,Petrol,Manual,Third,17.3,993,5,0.55,Maruti
Maruti Swift VDI,Hyderabad,2018,31025,Diesel,Manual,First,28.4,1248,5,7.15,Maruti
Mahindra Scorpio VLX,Pune,2013,105000,Diesel,Manual,Second,12.05,2179,8,7,Mahindra
Tata Zest Quadrajet,Pune,2017,121900,Diesel,Manual,First,22.95,1248,5,3.75,Tata
Ford EcoSport 1.0,Mumbai,2017,22695,Petrol,Manual,First,18.88,999,5,8.5,Ford
Maruti Swift Dzire,Jaipur,2012,73000,Diesel,Manual,First,23.4,1248,5,4.35,Maruti
Maruti Alto 800,Kochi,2016,32227,Petrol,Manual,First,22.74,796,5,3.26,Maruti
Honda City 1.5,Jaipur,2011,55000,Petrol,Manual,First,17,1497,5,4.21,Honda
Audi Q7 3.0,Kochi,2018,11287,Diesel,Automatic,First,12.07,2967,7,70.36,Audi
Skoda Laura 1.9,Mumbai,2009,48000,Diesel,Automatic,Second,17,1896,5,2.95,Skoda
Hyundai Verna 1.6,Kochi,2012,54308,Petrol,Manual,First,17.1,1591,5,4.28,Hyundai
Honda City 1.5,Jaipur,2009,78442,Petrol,Automatic,First,16.8,1497,5,3.57,Honda
Hyundai i20 Magna,Kolkata,2013,46000,Diesel,Manual,First,21.9,1396,5,3.11,Hyundai
Hyundai i20 Sportz,Coimbatore,2014,45051,Petrol,Automatic,First,15,1396,5,5.96,Hyundai
Volkswagen Vento Diesel,Hyderabad,2011,69000,Diesel,Manual,First,20.54,1598,5,4.7,Volkswagen
Honda City i,Ahmedabad,2014,49000,Petrol,Manual,First,17.4,1497,5,6.9,Honda
Tata Zest Quadrajet,Pune,2018,45000,Diesel,Manual,First,22.95,1248,5,5.25,Tata
BMW 5 Series,Pune,2015,64000,Diesel,Automatic,First,18.48,1995,5,28,BMW
Maruti Wagon R,Delhi,2009,60000,Petrol,Manual,First,18.9,1061,5,1.35,Maruti
Honda Jazz VX,Delhi,2015,62178,Petrol,Manual,First,18.2,1199,5,4.85,Honda
Volkswagen Jetta 2007-2011,Coimbatore,2012,58006,Diesel,Manual,First,15,1896,5,6.7,Volkswagen
Hyundai i10 Magna,Hyderabad,2010,74000,Petrol,Manual,First,20.36,1197,5,3.1,Hyundai
Mercedes-Benz New C-Class,Kochi,2015,77771,Diesel,Automatic,First,19.27,2143,5,18.64,Mercedes-Benz
Hyundai i10 Magna,Pune,2012,45275,Petrol,Manual,First,20.36,1197,5,2.8,Hyundai
Toyota Innova Crysta,Chennai,2016,48000,Diesel,Manual,First,13.68,2393,7,20.25,Toyota
Audi A6 2011-2015,Kochi,2015,31652,Diesel,Automatic,First,17.68,1968,5,26.78,Audi
Toyota Innova 2.5,Hyderabad,2010,109000,Diesel,Manual,Second,12.99,2494,7,8.26,Toyota
Volkswagen Polo Petrol,Mumbai,2015,31978,Petrol,Manual,First,16.47,1198,5,3.89,Volkswagen
Maruti Alto K10,Hyderabad,2011,70000,Petrol,Manual,First,20.92,998,5,2.1,Maruti
Honda City i-VTEC,Mumbai,2017,15000,Petrol,Automatic,First,18,1497,5,12.69,Honda
Tata Indigo LX,Coimbatore,2013,59138,Diesel,Manual,First,17,1405,5,2.58,Tata
Audi A6 2011-2015,Kochi,2014,61726,Diesel,Automatic,First,17.68,1968,5,20.77,Audi
Mercedes-Benz GLA Class,Delhi,2015,48000,Diesel,Automatic,First,17.9,2143,5,20.26,Mercedes-Benz
Hyundai Santro Xing,Chennai,2006,58000,Petrol,Manual,Second,0,1086,5,1.5,Hyundai
Maruti Swift VDI,Kolkata,2011,60020,Diesel,Manual,First,17.8,1248,5,2.5,Maruti
Maruti Celerio VXI,Hyderabad,2014,77815,Petrol,Automatic,First,23.1,998,5,4.25,Maruti
Mercedes-Benz GLE 250d,Hyderabad,2017,29000,Diesel,Automatic,First,17.9,2143,5,57,Mercedes-Benz
Land Rover Range,Delhi,2017,44000,Diesel,Automatic,First,12.7,2179,5,44,Land
Volkswagen Vento Diesel,Hyderabad,2011,108626,Diesel,Manual,First,20.54,1598,5,3.65,Volkswagen
Maruti Omni 8,Hyderabad,2012,71791,Petrol,Manual,First,14,796,5,2.05,Maruti
Honda Brio 1.2,Kochi,2012,91931,Petrol,Manual,First,18.5,1198,5,3.13,Honda
Tata Sumo Delux,Hyderabad,2000,158000,Diesel,Manual,Second,14.07,2956,7,1.5,Tata
Tata Indica Vista,Pune,2012,91183,Diesel,Manual,First,18,1248,5,2.85,Tata
Maruti Wagon R,Delhi,2012,65000,Petrol,Manual,First,18.9,998,5,2.65,Maruti
Mahindra XUV500 W8,Hyderabad,2015,88428,Diesel,Manual,First,16,2179,7,10.6,Mahindra
Tata Indigo LS,Pune,2008,138000,Diesel,Manual,Second,17.1,1396,5,1.25,Tata
Maruti Ertiga Paseo,Mumbai,2018,18000,Petrol,Manual,First,16.02,1373,7,8.25,Maruti
Honda Accord 2.4,Mumbai,2011,60000,Petrol,Automatic,First,11.7,2354,5,4.45,Honda
Maruti Swift Dzire,Kolkata,2012,48000,Diesel,Manual,First,19.3,1248,5,3.7,Maruti
Ford Fiesta EXi,Hyderabad,2009,160000,Diesel,Manual,First,17.8,1399,5,2.8,Ford
Honda City ZX,Kolkata,2008,40000,Petrol,Manual,First,17.7,1497,5,1.8,Honda
Audi A6 2011-2015,Kochi,2014,51495,Diesel,Automatic,First,17.68,1968,5,21.95,Audi
BMW 6 Series,Mumbai,2011,30000,Diesel,Automatic,First,9.52,2993,4,49,BMW
Audi Q7 45,Coimbatore,2017,97430,Diesel,Automatic,First,14.75,2967,7,62.67,Audi
Maruti Zen Estilo,Pune,2008,42496,CNG,Manual,First,26.3,998,5,1.4,Maruti
Hyundai i20 1.4,Pune,2012,83000,Diesel,Manual,First,23,1396,5,5.5,Hyundai
Hyundai i10 Sportz,Bangalore,2009,37000,Petrol,Automatic,Third,16.95,1197,5,2.95,Hyundai
Honda Jazz 1.2,Kochi,2016,28503,Petrol,Automatic,First,19,1199,5,6.86,Honda
Maruti Swift VDI,Hyderabad,2015,76496,Diesel,Manual,First,25.2,1248,5,6.15,Maruti
Hyundai i20 Asta,Pune,2011,79152,Petrol,Manual,Second,18.5,1197,5,3.3,Hyundai
Volkswagen Polo Petrol,Kolkata,2011,32000,Petrol,Manual,First,16.47,1198,5,2.55,Volkswagen
Maruti Alto LXi,Ahmedabad,2009,35000,Petrol,Manual,First,19.7,796,5,1.5,Maruti
Toyota Corolla H4,Chennai,2004,105000,Petrol,Automatic,Second,11.3,1794,5,2.5,Toyota
Maruti Alto LXi,Chennai,2006,56000,Petrol,Manual,Second,19.7,796,5,1.4,Maruti
Tata Manza ELAN,Pune,2012,73000,Diesel,Manual,First,21.12,1248,5,3.4,Tata
Maruti Alto LXi,Pune,2012,38000,Petrol,Manual,First,19.7,796,5,2.25,Maruti
Skoda Octavia Ambition,Kolkata,2013,775000,Diesel,Automatic,First,19.3,1968,5,7.5,Skoda
Toyota Corolla H4,Kolkata,2008,80000,Petrol,Automatic,First,11.3,1794,5,2.8,Toyota
Hyundai i20 Asta,Coimbatore,2016,24973,Petrol,Manual,First,18.6,1197,5,7.66,Hyundai
Maruti Vitara Brezza,Chennai,2016,45000,Diesel,Manual,First,24.3,1248,5,7.15,Maruti
Honda City 1.5,Delhi,2010,87430,Petrol,Manual,First,17,1497,5,3.5,Honda
Tata Indica Vista,Hyderabad,2014,133944,Diesel,Manual,Second,18,1248,5,3.5,Tata
Honda Amaze S,Kolkata,2013,57000,Diesel,Manual,First,25.8,1498,5,3.45,Honda
Hyundai EON D,Coimbatore,2016,27904,Petrol,Manual,First,21.1,814,5,3.55,Hyundai
BMW 3 Series,Kochi,2015,30717,Diesel,Automatic,Second,21.76,1995,5,25.99,BMW
Hyundai Verna 1.6,Bangalore,2012,80000,Diesel,Manual,First,22.32,1582,5,5.25,Hyundai
Tata Manza Club,Ahmedabad,2013,47304,Diesel,Manual,First,21.02,1248,5,2.9,Tata
Skoda Octavia RS,Jaipur,2005,100000,Petrol,Automatic,First,14.45,1984,5,2.05,Skoda
Maruti Alto K10,Pune,2017,30000,Petrol,Manual,First,24.07,998,5,3.75,Maruti
Ford Ecosport 1.5,Mumbai,2014,68000,Diesel,Manual,First,22.7,1498,5,6.75,Ford
Chevrolet Spark 1.0,Kolkata,2011,21000,Petrol,Manual,Second,18,995,5,0.95,Chevrolet
Jaguar XF 2.0,Hyderabad,2017,21000,Diesel,Automatic,First,19.33,1999,5,52,Jaguar
Honda CR-V RVi,Jaipur,2007,119000,Petrol,Manual,Third,13.1,1997,5,3.91,Honda
Skoda Superb L&K,Kochi,2019,13747,Petrol,Automatic,First,14.67,1798,5,27.3,Skoda
Hyundai i10 Magna,Chennai,2009,620000,Petrol,Manual,First,20.36,1197,5,2.7,Hyundai
Maruti Swift LDI,Delhi,2013,70000,Diesel,Manual,First,22.9,1248,5,3.5,Maruti
Maruti Swift Dzire,Mumbai,2016,18000,Petrol,Automatic,First,18.5,1197,5,6.2,Maruti
Nissan Micra Diesel,Chennai,2011,83000,Diesel,Manual,First,23.08,1461,5,2.75,Nissan
Maruti Swift Dzire,Mumbai,2015,130000,Diesel,Manual,First,23.4,1248,5,3.25,Maruti
Ford Fiesta Classic,Pune,2012,63400,Diesel,Manual,First,17.8,1399,5,3.25,Ford
Maruti Zen LX,Kolkata,2003,65000,Petrol,Manual,First,17.3,993,5,0.65,Maruti
Mini Clubman Cooper,Pune,2017,8350,Petrol,Manual,First,13.8,1998,5,35,Mini
Toyota Etios GD,Kolkata,2014,45000,Diesel,Manual,First,23.59,1364,5,3.25,Toyota
Maruti Alto 800,Kolkata,2018,26200,Petrol,Manual,First,24.7,796,5,2.9,Maruti
Maruti Alto VXi,Bangalore,2011,11000,Petrol,Manual,Third,18.9,796,5,2.9,Maruti
BMW X5 3.0d,Bangalore,2009,90000,Diesel,Automatic,Second,11,2993,5,17.75,BMW
Nissan Teana XV,Mumbai,2015,74000,Petrol,Automatic,Second,11.07,2496,5,8.25,Nissan
Hyundai Grand i10,Coimbatore,2015,37081,Petrol,Automatic,First,18.9,1197,5,5.77,Hyundai
Maruti Vitara Brezza,Hyderabad,2017,39000,Diesel,Manual,First,24.3,1248,5,9.49,Maruti
Audi Q7 3.0,Mumbai,2008,99000,Diesel,Automatic,Third,12.07,2967,7,12.95,Audi
Mercedes-Benz GLA Class,Chennai,2015,38000,Diesel,Automatic,First,17.9,2143,5,20,Mercedes-Benz
Maruti 800 AC,Chennai,2007,72000,Petrol,Manual,Third,16.1,796,4,1,Maruti
Renault Duster 85PS,Chennai,2015,93000,Diesel,Manual,Second,20.45,1461,5,7.1,Renault
Toyota Corolla Altis,Mumbai,2017,5900,Diesel,Manual,First,21.43,1364,5,16.5,Toyota
Mercedes-Benz New C-Class,Chennai,2014,25000,Diesel,Manual,First,15.8,2148,5,26,Mercedes-Benz
Maruti Ritz VDi,Hyderabad,2010,68000,Diesel,Manual,Second,21.1,1248,5,3.2,Maruti
Honda BRV i-VTEC,Kochi,2017,35676,Petrol,Automatic,First,16,1497,7,9.48,Honda
Hyundai Xcent 1.1,Kochi,2015,74310,Diesel,Manual,First,24.4,1120,5,4,Hyundai
Mercedes-Benz E-Class 2009-2013,Jaipur,2014,59364,Diesel,Automatic,First,14.21,2143,5,26.5,Mercedes-Benz
Mercedes-Benz B Class,Kochi,2014,41380,Petrol,Automatic,Second,14.8,1595,5,11.77,Mercedes-Benz
Mercedes-Benz E-Class 2015-2017,Bangalore,2017,33900,Diesel,Automatic,First,15,2143,5,37,Mercedes-Benz
Honda City i,Mumbai,2016,28000,Petrol,Manual,First,17.8,1497,5,8.75,Honda
Hyundai Santro Xing,Hyderabad,2007,50958,Petrol,Manual,First,17,1086,5,1.95,Hyundai
Honda City 1.5,Chennai,2011,93982,Petrol,Manual,First,17,1497,5,3.75,Honda
Hyundai Verna Transform,Pune,2010,95000,Petrol,Manual,First,16.2,1599,5,2.5,Hyundai
Jaguar XE Portfolio,Mumbai,2017,9000,Petrol,Automatic,First,13.5,1999,5,34.5,Jaguar
Honda Amaze S,Delhi,2015,52516,Petrol,Manual,First,18,1198,5,4.65,Honda
Mini Cooper Convertible,Bangalore,2015,20000,Petrol,Automatic,First,18.86,1598,4,32,Mini
Mercedes-Benz S Class,Coimbatore,2017,56451,Diesel,Automatic,First,13.5,2987,5,62.81,Mercedes-Benz
Hyundai EON Magna,Chennai,2014,37000,Petrol,Manual,First,21.1,814,5,3.25,Hyundai
Maruti Wagon R,Kolkata,2014,17400,Petrol,Manual,First,20.51,998,5,3.1,Maruti
Maruti Ritz LDi,Coimbatore,2011,90207,Diesel,Manual,First,21.1,1248,5,3.91,Maruti
BMW 3 Series,Chennai,2011,89616,Diesel,Automatic,First,16.07,1995,5,11,BMW
Tata Xenon XT,Pune,2014,85000,Diesel,Manual,First,13.49,2179,5,3.5,Tata
Audi A3 35,Chennai,2014,79271,Diesel,Automatic,First,20.38,1968,5,16.5,Audi
Land Rover Range,Hyderabad,2012,56000,Diesel,Automatic,First,12.7,2179,5,30,Land
Mercedes-Benz GL-Class 2007,Pune,2010,85001,Diesel,Automatic,Second,12,2987,7,28,Mercedes-Benz
Mitsubishi Pajero Sport,Hyderabad,2018,12000,Diesel,Automatic,First,13.5,2477,7,28,Mitsubishi
Maruti Alto LX,Jaipur,2010,125000,Petrol,Manual,First,19.7,796,5,0.92,Maruti
Maruti Wagon R,Pune,2013,53000,Petrol,Manual,First,14,1061,5,2.75,Maruti
Land Rover Range,Coimbatore,2017,34990,Diesel,Automatic,First,12.7,2179,5,53.83,Land
Hyundai Verna 1.6,Pune,2011,49768,Petrol,Manual,Second,17.01,1591,5,4.95,Hyundai
BMW 5 Series,Hyderabad,2013,56000,Diesel,Automatic,First,16.73,2993,5,33.5,BMW
Jaguar XF Diesel,Bangalore,2013,75000,Diesel,Automatic,First,14.74,2993,5,27.95,Jaguar
Skoda Superb Elegance,Hyderabad,2010,57000,Petrol,Automatic,First,13.7,1798,5,7.25,Skoda
Audi Q3 35,Kochi,2017,37542,Diesel,Automatic,First,15.73,1968,5,25.71,Audi
Land Rover Range,Coimbatore,2014,95649,Diesel,Automatic,First,12.7,2179,5,29.67,Land
Mercedes-Benz New C-Class,Jaipur,2013,35299,Diesel,Automatic,First,14.84,2143,5,19,Mercedes-Benz
Mahindra Scorpio S10,Kochi,2017,28464,Diesel,Manual,First,15.4,2179,7,13.05,Mahindra
BMW 3 Series,Mumbai,2015,41000,Diesel,Automatic,First,21.76,1995,5,25.5,BMW
Honda BR-V i-VTEC,Pune,2017,9000,Petrol,Manual,First,15.4,1497,7,8.5,Honda
Volvo S80 2006-2013,Chennai,2010,92098,Diesel,Automatic,Second,16,2400,5,7.25,Volvo
Hyundai Accent GLE,Pune,2005,5834,Petrol,Manual,First,13.2,1495,5,0.8,Hyundai
Hyundai i20 Active,Jaipur,2017,40250,Petrol,Manual,First,17.19,1197,5,6.9,Hyundai
Mercedes-Benz GLC 43,Coimbatore,2018,22397,Petrol,Automatic,First,11.5,2996,5,70.99,Mercedes-Benz
Hyundai EON Magna,Kolkata,2015,20800,Petrol,Manual,Second,21.1,814,5,2.25,Hyundai
Hyundai Grand i10,Kochi,2018,40322,Petrol,Manual,First,18.9,1197,5,5.5,Hyundai
Honda City 1.5,Mumbai,2013,52576,Petrol,Manual,First,13,1493,5,4.35,Honda
Volkswagen Polo Petrol,Kolkata,2010,55000,Petrol,Manual,First,16.47,1198,5,2.25,Volkswagen
Audi A6 35,Mumbai,2016,47000,Petrol,Automatic,First,15.26,1798,5,24.5,Audi
Volkswagen Jetta 2007-2011,Hyderabad,2010,42021,Diesel,Manual,First,0,1968,5,5.45,Volkswagen
Hyundai Creta 1.6,Coimbatore,2017,23163,Petrol,Manual,First,15.29,1591,5,12.03,Hyundai
Mercedes-Benz New C-Class,Mumbai,2011,50000,Petrol,Automatic,Second,11.74,1796,5,8.5,Mercedes-Benz
Mini Cooper Convertible,Mumbai,2014,11900,Petrol,Automatic,First,16.82,1998,4,28.5,Mini
Hyundai Santro Xing,Pune,2006,108000,Petrol,Manual,Second,17,1086,5,1.2,Hyundai
Toyota Etios VD,Bangalore,2013,37000,Diesel,Manual,First,23.59,1364,5,5.75,Toyota
Honda Brio S,Delhi,2014,30000,Petrol,Manual,Second,19.4,1198,5,3.2,Honda
Maruti Baleno Alpha,Coimbatore,2018,12831,Petrol,Automatic,First,21.4,1197,5,9.89,Maruti
Skoda Laura Ambiente,Coimbatore,2012,143017,Diesel,Automatic,First,20,1968,5,6.58,Skoda
Hyundai EON Era,Kochi,2018,13102,Petrol,Manual,First,21.1,814,5,4.06,Hyundai
Renault Captur 1.5,Coimbatore,2019,24950,Diesel,Manual,First,20.37,1461,5,13.37,Renault
BMW 5 Series,Coimbatore,2011,57832,Diesel,Automatic,First,16.2,2993,5,25.82,BMW
Maruti Alto 800,Kochi,2016,34267,Petrol,Manual,First,22.74,796,5,3.74,Maruti
Volvo V40 D3,Bangalore,2015,33000,Diesel,Automatic,Second,16.8,1984,5,22,Volvo
Maruti Wagon R,Ahmedabad,2007,55100,Petrol,Manual,First,18.9,998,5,1.45,Maruti
Honda City ZX,Kolkata,2008,40000,Petrol,Manual,First,17.7,1497,5,2,Honda
Maruti Eeco 5,Kochi,2017,31841,CNG,Manual,First,15.1,1196,5,4.7,Maruti
Chevrolet Enjoy 1.4,Kolkata,2014,15000,Petrol,Manual,First,13.7,1399,8,3.75,Chevrolet
Mahindra Bolero ZLX,Coimbatore,2016,82756,Diesel,Manual,First,15.96,2523,7,7.7,Mahindra
Hyundai Santro GLS,Coimbatore,2012,50243,Petrol,Manual,First,0,1086,5,3.35,Hyundai
Hyundai EON D,Hyderabad,2014,20600,Petrol,Manual,First,21.1,814,5,2.6,Hyundai
Hyundai Creta 1.6,Coimbatore,2017,29952,Petrol,Automatic,First,13,1591,5,13.77,Hyundai
Volkswagen Vento 1.6,Mumbai,2017,15000,Petrol,Manual,Second,16.09,1598,5,7.1,Volkswagen
Honda Civic 2006-2010,Pune,2008,61938,Petrol,Automatic,Second,12.9,1799,5,2.65,Honda
Tata Indica Vista,Hyderabad,2014,67000,Diesel,Manual,First,22.3,1248,5,2.5,Tata
Mahindra XUV500 W8,Kochi,2013,61672,Diesel,Manual,First,16,2179,7,7.53,Mahindra
Hyundai i20 1.2,Coimbatore,2017,26185,Petrol,Manual,First,18.6,1197,5,7.98,Hyundai
Audi Q5 30,Bangalore,2014,38000,Diesel,Automatic,Second,14.16,1968,5,39,Audi
Maruti Ritz VXi,Chennai,2011,67000,Petrol,Manual,Second,18.5,1197,5,2.25,Maruti
Mitsubishi Cedia Sports,Chennai,2010,66000,Petrol,Manual,Second,13.17,1999,5,3.85,Mitsubishi
Toyota Innova 2.5,Hyderabad,2015,80883,Diesel,Manual,First,12.8,2494,7,13.5,Toyota
Maruti Celerio LDi,Hyderabad,2016,80219,Diesel,Manual,First,27.62,793,5,3.5,Maruti
Maruti S-Cross Delta,Delhi,2018,12923,Diesel,Manual,First,25.1,1248,5,8.92,Maruti
Audi Q3 35,Coimbatore,2016,86642,Diesel,Automatic,First,15.17,1968,5,20.37,Audi
BMW 3 Series,Bangalore,2016,19235,Diesel,Automatic,First,21.76,1995,5,36.5,BMW
Audi Q7 4.2,Coimbatore,2016,51002,Diesel,Automatic,First,11.33,4134,7,48.91,Audi
Hyundai i20 2015-2017,Pune,2016,6800,Petrol,Manual,First,18.6,1197,5,7.2,Hyundai
Renault Duster 110PS,Hyderabad,2012,82749,Diesel,Manual,First,19.01,1461,5,5.99,Renault
Hyundai Xcent 1.1,Pune,2016,51000,Diesel,Manual,First,24.4,1120,5,5.25,Hyundai
Ford Ecosport 1.5,Delhi,2014,31465,Diesel,Manual,First,22.7,1498,5,6.5,Ford
Volkswagen Polo Petrol,Hyderabad,2013,76476,Petrol,Manual,First,16.47,1198,5,4.4,Volkswagen
Hyundai Grand i10,Kolkata,2017,14000,Diesel,Manual,First,24,1120,5,4.6,Hyundai
Tata Manza Aqua,Ahmedabad,2013,47000,Diesel,Manual,First,21.12,1248,5,2.95,Tata
Honda City 1.5,Kolkata,2011,48466,Petrol,Manual,First,17,1497,5,3.26,Honda
Hyundai Santro Xing,Bangalore,2008,46000,Petrol,Manual,Second,17.92,1086,5,2.22,Hyundai
Toyota Innova 2.5,Hyderabad,2012,162663,Diesel,Manual,First,12.99,2494,7,10.5,Toyota
Maruti Ciaz 1.3,Coimbatore,2017,25142,Diesel,Manual,First,28.09,1248,5,8.26,Maruti
Toyota Fortuner 4x4,Delhi,2013,69000,Diesel,Manual,First,12.55,2982,7,14.45,Toyota
Ford Fiesta 1.6,Chennai,2009,80524,Petrol,Manual,Second,15.3,1596,5,2.5,Ford
Mercedes-Benz E-Class E,Kochi,2018,26405,Petrol,Automatic,First,12.6,1950,5,51.43,Mercedes-Benz
Mercedes-Benz New C-Class,Chennai,2014,45000,Diesel,Manual,First,15.8,2148,5,23,Mercedes-Benz
Skoda Yeti Ambition,Kolkata,2012,64284,Diesel,Manual,First,17.72,1968,5,5.5,Skoda
Hyundai Grand i10,Delhi,2015,27000,Petrol,Manual,First,18.9,1197,5,4.5,Hyundai
Ford Figo 2015-2019,Hyderabad,2018,3678,Petrol,Manual,First,18.16,1196,5,6.8,Ford
Skoda Octavia Ambition,Mumbai,2013,21000,Petrol,Manual,First,16.8,1395,5,8.75,Skoda
Renault Duster 85PS,Mumbai,2015,67000,Diesel,Manual,Second,19.87,1461,5,7,Renault
Land Rover Range,Delhi,2015,24000,Diesel,Automatic,Second,15.68,1999,5,33.5,Land
Ford Figo Diesel,Chennai,2011,75000,Diesel,Manual,Second,20,1399,5,2.25,Ford
Ford Endeavour Hurricane,Hyderabad,2008,179000,Diesel,Automatic,Second,12.8,2953,7,4.24,Ford
Toyota Fortuner 4x4,Coimbatore,2017,47198,Diesel,Manual,First,12.55,2982,7,28.42,Toyota
Volkswagen Polo Diesel,Kolkata,2012,52000,Diesel,Manual,First,22.07,1199,5,2.75,Volkswagen
Maruti Ritz VDi,Jaipur,2011,91000,Diesel,Manual,First,23.2,1248,5,3,Maruti
Nissan Micra Diesel,Pune,2013,60000,Diesel,Manual,First,23.08,1461,5,3.55,Nissan
Hyundai Verna 1.6,Kolkata,2013,37873,Diesel,Manual,First,22.32,1582,5,4.8,Hyundai
BMW 5 Series,Kolkata,2011,31000,Petrol,Automatic,First,10.8,2497,5,13.5,BMW
Mercedes-Benz GLS 350d,Pune,2017,129000,Diesel,Automatic,First,11,2987,7,56,Mercedes-Benz
Honda CR-V 2.4L,Hyderabad,2004,78000,Petrol,Automatic,First,12,2354,5,3.99,Honda
Hyundai Creta 1.6,Bangalore,2016,32000,Diesel,Automatic,First,17.01,1582,5,15.5,Hyundai
Hyundai i10 Era,Jaipur,2010,59000,Petrol,Manual,Second,19.81,1086,5,2.32,Hyundai
Mercedes-Benz A Class,Kochi,2016,35437,Diesel,Automatic,First,20,2143,5,18.58,Mercedes-Benz
Maruti Ertiga VXI,Jaipur,2014,98000,Petrol,Manual,First,16.02,1373,7,5.5,Maruti
Skoda Octavia Classic,Chennai,2006,72000,Diesel,Manual,Second,18.7,1896,5,3.2,Skoda
Honda Amaze VX,Pune,2015,79000,Petrol,Manual,First,18,1198,5,4,Honda
Maruti Zen LXi,Chennai,2004,29000,Petrol,Manual,First,17.3,993,5,1.6,Maruti
Maruti SX4 ZXI,Kochi,2013,66012,Petrol,Manual,First,15.5,1586,5,4.15,Maruti
Honda Brio VX,Mumbai,2014,35000,Petrol,Automatic,First,16.5,1198,5,4.25,Honda
Maruti Wagon R,Ahmedabad,2011,75000,Petrol,Manual,First,18.9,998,5,2.6,Maruti
Toyota Camry A/T,Mumbai,2008,80000,Petrol,Automatic,Second,12.1,2362,5,3.43,Toyota
Chevrolet Beat LS,Kochi,2012,32717,Petrol,Manual,First,18.6,1199,5,2.55,Chevrolet
Toyota Fortuner 4x4,Delhi,2017,25000,Diesel,Automatic,First,12.55,2982,7,32,Toyota
Ford Ecosport 1.5,Mumbai,2014,79000,Diesel,Manual,First,22.7,1498,5,6.25,Ford
Maruti Swift Vdi,Hyderabad,2010,86000,Diesel,Manual,Second,17.8,1248,5,3.6,Maruti
Mercedes-Benz S Class,Pune,2010,137000,Diesel,Automatic,First,13.5,2987,5,18.5,Mercedes-Benz
Honda Mobilio S,Mumbai,2015,25000,Petrol,Manual,Second,17.3,1497,7,4.25,Honda
Hyundai Grand i10,Mumbai,2017,8500,Petrol,Manual,Second,18.9,1197,5,4.8,Hyundai
Mahindra XUV500 AT,Bangalore,2015,34000,Diesel,Automatic,First,16,2179,7,13,Mahindra
Skoda Fabia 1.6,Pune,2012,41629,Petrol,Manual,Second,14.83,1598,5,2.25,Skoda
Hyundai Santro Xing,Hyderabad,2009,80227,Petrol,Manual,First,17.92,1086,5,2.3,Hyundai
Hyundai Creta 1.6,Kochi,2019,8587,Petrol,Manual,First,15.29,1591,5,13.56,Hyundai
Mahindra Scorpio 1.99,Delhi,2017,30000,Diesel,Manual,First,15.4,1997,7,12.25,Mahindra
Skoda Rapid 1.6,Pune,2013,64186,Diesel,Manual,First,20.5,1598,5,3.76,Skoda
Renault Duster 110PS,Coimbatore,2015,76427,Diesel,Manual,First,19.01,1461,5,8.58,Renault
BMW X5 xDrive,Hyderabad,2011,75000,Diesel,Automatic,First,11.7,2993,5,27.5,BMW
Toyota Etios G,Coimbatore,2013,27075,Petrol,Manual,First,17.6,1496,5,4.95,Toyota
Maruti Wagon R,Ahmedabad,2012,30000,Petrol,Manual,First,22.5,998,5,3.3,Maruti
Hyundai Creta 1.6,Chennai,2016,69434,Petrol,Manual,First,15.8,1591,5,8,Hyundai
Maruti Celerio VXI,Jaipur,2014,56000,Petrol,Manual,First,23.1,998,5,2.79,Maruti
Land Rover Range,Coimbatore,2017,49275,Diesel,Automatic,First,12.7,2179,5,45.64,Land
Chevrolet Beat LT,Pune,2014,8700,Petrol,Manual,First,18.6,1199,5,2.55,Chevrolet
Tata Nano Twist,Ahmedabad,2014,18000,Petrol,Manual,Second,25.4,624,4,1,Tata
Audi A6 2011-2015,Coimbatore,2017,41041,Diesel,Automatic,First,17.68,1968,5,37.56,Audi
Mercedes-Benz E-Class 280,Kochi,2009,80464,Diesel,Automatic,Second,11,2987,5,9.29,Mercedes-Benz
Maruti Swift VXI,Kochi,2019,20667,Petrol,Manual,First,22,1197,5,6.37,Maruti
Fiat Linea T,Coimbatore,2013,60283,Petrol,Manual,First,14.6,1368,5,2.98,Fiat
Maruti Swift VXI,Kochi,2017,31696,Petrol,Manual,First,20.4,1197,5,5.75,Maruti
